iter,policy_loss,value_loss,entropy,selfplay_win_rate,mean_ep_len,episodes,cumulative_nn_forwards,cumulative_selfplay_positions,cumulative_time_s,win_rate_previous,score_previous,draws_previous,win_rate_random,win_rate_mcts,elo
100,-0.0735761,0.129856,0.975116,0.928068,46.7701,709,3276800,3276800,1989.61,,,,,,
101,-0.0751231,0.12228,0.968784,0.913889,46.35,720,3309568,3309568,2008.5,,,,,,
102,-0.0743638,0.129584,0.968157,0.92,46.5371,700,3342336,3342336,2027.46,,,,,,
103,-0.0735737,0.133986,0.961296,0.939568,45.8504,695,3375104,3375104,2046.45,,,,,,
104,-0.0731496,0.128853,0.964597,0.920657,45.8933,731,3407872,3407872,2065.38,,,,,,
105,-0.0736549,0.128775,0.961742,0.937589,46.1901,705,3440640,3440640,2084.37,,,,,,
106,-0.0746837,0.133917,0.956311,0.92233,45.7171,721,3473408,3473408,2103.32,,,,,,
107,-0.0720118,0.12964,0.953787,0.91954,46.3118,696,3506176,3506176,2122.34,,,,,,
108,-0.0724393,0.123192,0.952289,0.910112,46.1784,712,3538944,3538944,2141.34,,,,,,
109,-0.0714099,0.128353,0.948334,0.91831,46.3465,710,3571712,3571712,2160.32,,,,,,
110,-0.0717033,0.128528,0.944114,0.913598,46.0666,706,3604480,3604480,2179.45,,,,,,
111,-0.0704962,0.128565,0.947216,0.908836,46.2679,713,3637248,3637248,2198.47,,,,,,
112,-0.0693031,0.129497,0.957575,0.909091,46.4797,715,3670016,3670016,2217.58,,,,,,
113,-0.0722387,0.123576,0.94855,0.913169,46.2055,691,3702784,3702784,2236.63,,,,,,
114,-0.0719918,0.123145,0.957732,0.922438,45.9072,722,3735552,3735552,2255.67,,,,,,
115,-0.071395,0.131504,0.95372,0.926241,46.5773,705,3768320,3768320,2274.72,0.5,0.55,2,0.95,0,1556
116,-0.0718084,0.125194,0.955721,0.895415,46.7765,698,3801088,3801088,2367.84,,,,,,
117,-0.0709784,0.127272,0.961446,0.9,46.8116,690,3833856,3833856,2386.01,,,,,,
118,-0.0715249,0.122121,0.958634,0.909353,47.3022,695,3866624,3866624,2404.41,,,,,,
119,-0.0718504,0.117205,0.967491,0.928152,47.89,682,3899392,3899392,2422.99,,,,,,
120,-0.0710505,0.127427,0.963026,0.890671,47.4388,686,3932160,3932160,2441.77,,,,,,
121,-0.0715847,0.124019,0.959194,0.897328,47.1969,711,3964928,3964928,2460.59,,,,,,
122,-0.0716392,0.122479,0.958708,0.906433,47.1462,684,3997696,3997696,2479.48,,,,,,
123,-0.0703791,0.119969,0.960387,0.897547,47.4257,693,4030464,4030464,2498.41,,,,,,
124,-0.071923,0.121721,0.949326,0.909222,47.2896,694,4063232,4063232,2517.37,,,,,,
125,-0.0719327,0.117985,0.939888,0.899408,47.892,676,4096000,4096000,2536.34,,,,,,
126,-0.0716317,0.123141,0.945175,0.908046,47.7615,696,4128768,4128768,2555.36,,,,,,
127,-0.070259,0.125615,0.948459,0.911594,47.6783,690,4161536,4161536,2574.28,,,,,,
128,-0.071719,0.120524,0.94553,0.913043,47.958,690,4194304,4194304,2593.3,,,,,,
129,-0.0702925,0.125941,0.94014,0.899399,48.1411,666,4227072,4227072,2612.33,,,,,,
130,-0.0701276,0.122439,0.945401,0.90843,47.5363,688,4259840,4259840,2631.34,,,,,,
131,-0.0693107,0.121345,0.945243,0.91,47.4871,700,4292608,4292608,2650.32,,,,,,
132,-0.0702881,0.120664,0.93695,0.897661,46.8684,684,4325376,4325376,2669.29,,,,,,
133,-0.0696675,0.124447,0.939882,0.925562,47.3287,712,4358144,4358144,2688.25,,,,,,
134,-0.0692984,0.122233,0.945245,0.910015,47.7837,689,4390912,4390912,2707.18,,,,,,
135,-0.0687557,0.121506,0.926789,0.907046,47.4423,667,4423680,4423680,2726.22,,,,,,
136,-0.0695057,0.124167,0.924398,0.89301,47.5421,701,4456448,4456448,2745.25,,,,,,
137,-0.068975,0.121383,0.925228,0.895565,47.2761,699,4489216,4489216,2764.36,,,,,,
138,-0.0696315,0.119884,0.92147,0.9,47.2118,680,4521984,4521984,2783.46,,,,,,
139,-0.0709951,0.125113,0.937627,0.898305,47.2641,708,4554752,4554752,2802.57,,,,,,
140,-0.0697591,0.119609,0.928139,0.907514,47.1416,692,4587520,4587520,2821.76,,,,,,
141,-0.069504,0.122696,0.924325,0.892128,46.8878,686,4620288,4620288,2840.86,,,,,,
142,-0.069672,0.119931,0.914242,0.894737,47.4595,703,4653056,4653056,2859.99,,,,,,
143,-0.0685474,0.124385,0.924121,0.901004,47.0961,697,4685824,4685824,2879.13,,,,,,
144,-0.0683593,0.122197,0.923981,0.897842,47.0374,695,4718592,4718592,2898.39,,,,,,
145,-0.0683607,0.12591,0.918495,0.889374,47.5284,687,4751360,4751360,2917.63,,,,,,
146,-0.0679501,0.122701,0.908025,0.896802,47.6032,688,4784128,4784128,2936.77,,,,,,
147,-0.0676059,0.117417,0.889905,0.905172,47.6925,696,4816896,4816896,2955.97,,,,,,
148,-0.0683987,0.117552,0.895004,0.920821,47.0249,682,4849664,4849664,2975.38,,,,,,
149,-0.0677589,0.129102,0.907096,0.931755,46.9513,718,4882432,4882432,2994.54,,,,,,
150,-0.0696824,0.119771,0.909397,0.912593,46.6015,675,4915200,4915200,3013.86,,,,,,
151,-0.0668425,0.125847,0.909145,0.886819,47.3854,698,4947968,4947968,3033.04,,,,,,
152,-0.0682113,0.117847,0.901492,0.888252,47.447,698,4980736,4980736,3052.18,,,,,,
153,-0.0693284,0.118287,0.894963,0.907353,47.2118,680,5013504,5013504,3071.39,0.6,0.6,0,0.75,0,1588
